0,1,2,3,4,5,6,7,8,9,y
0.01037597467970075,0.3168241174631377,0.3744019412693059,0.2492535061512952,0.11239832276542383,0.09903143237981199,0.38026535609947937,0.08455541828126772,0.044169907087005134,0.3426799091838986,15.42641286533492
0.5019741331639572,0.7560961316928883,0.9063104808260567,0.8062630334146941,0.8608776587158997,0.6459380340853166,0.9588870612564717,0.8572878916988453,0.7712721840056307,0.5710850238007634,20.06786692389873
1.3370668075331726,1.220916587211498,1.2170069966666468,1.3088834892346586,1.2565691212771954,1.3251985909657336,1.3005194767022723,1.4026115984163732,1.2608235761968172,1.454324440404334,9.466815201029384
1.5452296746354537,1.6503500283181016,1.5569921809317748,1.9143406631538382,1.5234481596946248,1.8131435741556963,1.7737930779596218,1.9096434978350343,1.5994737698394061,1.9284251512288666,9.384721779770906
2.377323845764929,2.1479808534398392,2.4419682397805933,2.1627558189161245,2.082507948859574,2.1962646219732935,2.046730187279325,2.410552828918464,2.075576009821282,2.1920572243460996,11.033052788641758
2.993812737450936,2.728152273547392,2.9130614219213697,2.6256870671035295,2.798685824115442,2.951415880165814,2.7672789744009076,2.7951006814927113,2.5196408836126936,2.678590879317268,23.885214244776023
3.1527299591714093,3.165359655991066,3.386915148105298,3.0199796043449885,3.214746089215819,3.1574634359213443,3.3182455715337724,3.1731735750400167,3.0215486781024974,3.439957587258958,7.592261803119284
3.939048321362429,3.7087545719196333,3.8027887821968784,3.756733313704144,3.798918323981487,3.631107830565975,3.650435654470354,3.512699891025053,3.6515312803255173,3.6210379377017636,22.26481174287362
4.282753509944084,4.237566123707525,4.146398988144755,4.032125530347412,4.489409572878821,4.169853921818932,4.247524315441227,4.4885403629613405,4.2203869124503335,4.159136402739476,19.15156377325288
4.789068214941234,4.926966875250243,4.534048636768975,4.7322654038896665,4.890974559309575,4.859301405191125,4.793010990026588,4.518547206617204,4.675328195641566,4.781595342246373,19.395939717507602
5.256167076636775,5.336733462642361,5.079596866689046,5.0252388350769985,5.168907943532339,5.054031886389726,5.089451404285545,5.442913548083853,5.182682485607058,5.109384674589768,15.994597448491257
5.553439792196785,5.8723016203877805,5.7348926467202475,5.799127835639554,5.573810096142648,5.592017411046576,5.8225360632341205,5.524314003131702,5.624306253901385,5.771204258114002,26.049923404372056
6.190705767452316,6.461116393451773,6.4626784364338885,6.2833749622875,6.266735442494501,6.007430012316614,6.4889496317010025,6.2865144520165925,6.395878498138312,6.280778680138185,16.535466865400185
6.792097914265338,6.854424913184477,6.574266725678229,6.714225369483948,6.846945033171206,6.552309872261427,6.719802618887295,6.583101073852267,6.753489314632024,6.909517932068106,30.546704831298694
7.400034375347072,7.282563176978902,7.294673855840304,7.099050328608135,7.2180591276694175,7.147951881110418,7.018778837970839,7.015342420186473,7.226552500100617,7.372432038475034,15.802134694488771
